Type,Category,Services,Description,Includes,Duration (mins),Pricing,
Everyday Facial,Bespoke,Bespoke 60mins / Express ,"A customised facial designed for busy individuals who want visible skin results without downtime. 

This express bespoke facial focuses on essential cleansing, exfoliation, targeted treatment and hydration, tailored to your skin’s daily needs. 

Ideal for maintenance care, or a quick skin reset between treatments. For all skin types.

","Double cleanse
Exfoliation (enzyme or light peel)
Light extractions only (if required)
(Please opt for Bespoke 90mins if longer extractions are required)
Lymphatic drainage massage (Face & Décolleté)
Customised serum application
Customised mask
Aftercare

Please note that use of machines and steps may vary depending on your skin needs. 

",60,$128,
,,Bespoke 90mins ,"Our signature bespoke facial experience, fully tailored to your skin’s current condition and long-term goals. 

This treatment allows a more rounded customisation with targeted serums, extended massage and customised masks to address concerns such as dehydration, dullness, congestion or sensitivity. 

Suitable for all skin types.

A perfect balance of results and relaxation, designed for everyday skin health.

","Double cleanse
Steam
Exfoliant (enzyme or light peel)
Manual extraction (if required)
Lymphatic drainage massage (Scalp, Face, Décolleté)
Customised serum application with use of a machine
Customised serum jelly mask
Aftercare

Please note that use of machines and steps may vary depending on your skin needs. 
",90,$158,
,,Bespoke 120mins,"A deeply restorative, unhurried facial experience for those seeking comprehensive skin correction and relaxation. 

This extended bespoke facial allows for advanced treatments, layered masks, extended massage, and focused problem-solving for complex skin concerns. 

Ideal for chronic congestion, stressed skin, or clients who want both therapeutic results and deep relaxation.
","Double cleanse
Steam
Exfoliant (enzyme or light peel)
Manual extraction (if required)
Lymphatic drainage massage (Scalp, Face, Décolleté)
Customised serum application with use of a machine
Another use of machine depending on skin
Customised serum jelly mask
Aftercare

Please note that use of machines and steps may vary depending on your skin needs. 
",120,$198,
,Bespoke PLUS+,Myofascial Sculpted Flow,"A deeply therapeutic facial focusing on fascia release to improve facial tension, circulation and natural lift.

This hands-on sculpting technique supports lymphatic drainage and facial contouring while calming the nervous system.

Ideal for puffiness, facial tightness, and jaw tension. Not suitable for clients with acne  or super sensitive skin conditions. 
","Double cleanse
Myofascial massage (Scalp, Face, Décolleté)
Customised mask 
Aftercare",60,$168,
,,"ESSE Organic ""Live Probiotics""","A skin-barrier-repair facial using ESSE’s certified organic live probiotics skincare to rebalance the skin microbiome. 

This treatment strengthens immunity, calms inflammation, and supports long-term skin resilience. 

Highly recommended for sensitive, compromised, and pregnant or breastfeeding mummies. 

Congratulations mummy!","Double cleanse
Steam
Exfoliant (Enyzme, Microderm or Cocoa)
Manual extraction(if required)
Lymphatic drainage massage (Scalp, Face, Décolleté)
Booster ampoule
Customised serum application with use of a machine
Customised 1st mask
Customised 2nd exclusion mask
Aftercare

Please note that use of machines and steps may vary depending on your skin needs. 
",90,$178,
,,No-downtime Peel,"A gentle resurfacing peel designed to brighten skin tone, refine texture, and boost cell renewal without visible peeling or downtime. 

Suitable for clients who want results while continuing daily activities. 

Ideal for dull, uneven, or pigmented skin.
","Double cleanse
Steam
Exfoliant (enzyme or light peel)
Manual extraction (if required)
Lymphatic drainage massage (Scalp, Face, Décolleté)
Customised serum application with cold or ultrasound therapy
Customised serum jelly mask
Aftercare

Please note that use of machines and steps may vary depending on your skin needs. 
",90,$168,
,,Detox Reset,"A targeted facial focusing on congestion, clogged pores, and blackheads. 

This treatment prioritises safe, thorough extractions while calming inflammation and supporting skin healing. 

Ideal for those experiencing frequent breakouts or skin congestion in Singapore’s climate.

","Double cleanse
Steam
Exfoliant (enzyme or light peel)
Manual extraction
Lymphatic drainage massage (Scalp, Face, Décolleté)
Customised serum application with cold or ultrasound therapy
Customised serum jelly mask
Aftercare

Please note that use of machines and steps may vary depending on your skin needs. 
",100,$178,
,,Meridian Bojin and Gua Sha Sculpt,"A traditional technique-inspired facial combining meridian therapy, Bojin, and Gua Sha to stimulate circulation, release stagnation, and sculpt facial contours. 

We combined both techniques to stimulate your body's energy meridians, promoting the flow of Qi (energy) to balance your skin and revitalize your complexion.

This treatment supports lymphatic drainage, skin vitality, and overall facial balance from within.

Ideal if you have tired, lacklusture skin. Not suitable for clients with acne  or super sensitive skin conditions. ","Double cleanse
Steam
Exfoliant (enzyme or light peel)
Manual extraction (if required)
Lymphatic drainage massage 
Gua Sha and Bojin Merdian Therapy (Scalp, Face, Ears, Décolleté)
Customised serum application with warm therapy
Customised serum jelly mask
Aftercare

Please note that use of machines and steps may vary depending on your skin needs. 
",120,$198,
,,Hydration Rescue PLUS+,"An intensive hydration facial designed to replenish moisture, strengthen the skin barrier, and relieve dehydration-induced sensitivity. 

Ideal for dry, compromised, or post-travel skin needing immediate comfort and glow restoration.
","Double cleanse
Steam
Exfoliant (enzyme or light peel)
Manual extraction (if required)
Lymphatic drainage massage (Scalp, Face, Décolleté)
Customised serum application with use of a machine
Oxygen Jet Infusion
Customised serum jelly mask
Aftercare

Please note that use of machines and steps may vary depending on your skin needs. 
",120,$198,
,,3D Lift & Sculpt PLUS+,"A firming and lifting facial focused on improving skin elasticity, facial definition, and collagen support. 

Combines advanced massage techniques with targeted actives to promote a more lifted, youthful appearance without invasive procedures.

Ideal for sagging, non-invasive anti-aging support.
","Double cleanse
Steam
Exfoliant (BHA Renewal)
Manual extraction (if required) Light extractions only
Lymphatic drainage massage (Scalp, Face, Décolleté)
Sculpting massage with CelloFirm Activator serum
Lifting machine
Lifting booster ampoule
Warm therapy
OligoPeptide Firming Mask
Aftercare

Please note that use of machines and steps may vary depending on your skin needs. 
",120,$198,
